City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
694,Kargil,IN,33.46,Clear,34.5667,76.1,Hotel Caravan Sarai Kargil
695,Skibbereen,IE,50.11,Rain,51.55,-9.2667,The West Cork Hotel
696,Irbit,RU,21.96,Clouds,57.6705,63.071,Nitsa
697,Chiredzi,ZW,80.37,Clear,-21.05,31.6667,Clevers Hotel Chiredzi
698,Linguere,SN,87.93,Clouds,15.3953,-15.1193,Thiossane Plaza
699,Kiomboi,TZ,69.26,Clouds,-4.2667,34.3667,Noah DS Site
700,Mahajanga,MG,75.22,Rain,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
701,Buraydah,SA,77.45,Clouds,26.326,43.975,Mövenpick Qassim
702,Tibati,CM,74.41,Clouds,6.4667,12.6333,Tibati Hotel
703,Riviere-Au-Renard,CA,64.69,Clouds,48.9957,-64.3971,Auberge Le Caribou
